Lifetime_Value,Age,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Mobile_App_Usage,Social_Media_Engagement_Score,Email_Open_Rate,Days_Since_Last_Purchase,Cart_Abandonment_Rate,Wishlist_Items,Discount_Usage_Rate,Returns_Rate,Customer_Service_Calls,Product_Reviews_Written,Payment_Method_Diversity
1002.27,23.0,3.0,11.0,16.2,7.5,,13.8,3.6,127.0,39.7,7.0,68.9,7.6,8.0,6.0,
978.92,44.0,2.2,18.0,43.0,9.0,31.6,49.9,47.9,7.0,37.4,7.0,,11.5,4.0,4.0,3.0
731.67,30.0,5.4,8.0,23.6,9.3,12.0,15.0,26.6,10.0,87.7,7.0,48.6,22.2,6.0,1.0,
2099.01,18.0,1.5,13.0,23.4,7.5,,36.7,0.0,12.0,54.8,5.0,24.5,,9.0,,2.0
1576.5,33.0,5.0,14.0,44.0,15.7,33.8,,39.6,2.0,42.2,13.0,15.9,10.4,4.0,,2.0
1946.54,49.0,0.4,19.0,24.8,12.1,18.7,34.9,28.4,43.0,72.5,8.0,45.8,4.8,10.0,1.0,2.0
878.99,33.0,6.2,11.0,23.5,11.7,26.2,28.6,31.2,32.0,40.2,,74.04,7.1,2.0,7.0,1.0
907.41,58.0,4.8,9.0,25.2,4.9,19.1,26.9,23.8,1.0,58.1,4.0,50.9,10.0,10.0,1.0,2.0
1095.47,,0.8,15.0,17.2,4.4,,36.9,4.9,19.0,59.7,5.0,44.5,7.4,5.0,1.0,1.0
2880.99,42.0,3.2,24.0,37.3,6.3,22.9,24.9,15.7,2.0,55.4,4.0,48.1,1.1,7.0,,2.0
2751.39,36.0,0.9,25.0,35.6,15.0,29.1,38.4,24.6,3.0,36.4,12.0,5.5,8.2,5.0,8.0,3.0
1561.18,37.0,1.0,11.0,30.5,7.5,9.7,20.8,12.2,32.0,43.3,6.0,45.6,4.4,4.0,3.0,1.0
440.47,34.0,2.7,5.0,19.3,4.1,13.0,14.0,0.0,2.0,92.0,0.0,28.2,15.9,9.0,1.0,4.0
2525.36,,1.1,21.0,40.6,14.4,34.0,34.2,37.4,4.0,34.5,10.0,56.64,4.6,3.0,8.0,3.0
880.89,44.0,4.1,7.0,18.7,6.9,10.1,42.5,9.7,28.0,65.2,2.0,33.6,0.8,8.0,,4.0
723.97,26.0,0.9,11.0,22.2,6.2,15.7,30.9,13.2,7.0,54.4,3.0,31.2,6.5,5.0,1.0,2.0
547.5,25.0,2.2,11.0,18.5,5.3,,2.9,26.2,44.0,52.4,,46.56,8.0,9.0,2.0,1.0
3169.22,24.0,0.5,35.0,44.8,20.5,,,35.9,4.0,26.8,11.0,13.92,9.8,1.0,6.0,2.0
1137.82,62.0,1.5,17.0,27.3,9.2,19.9,13.6,32.8,5.0,57.9,9.0,18.1,,7.0,8.0,1.0
1543.13,44.0,3.2,13.0,31.0,11.4,,15.8,31.2,10.0,39.9,5.0,63.35999999999999,6.1,10.0,4.0,3.0
1539.59,41.0,3.4,5.0,16.1,6.2,20.4,5.0,22.4,55.0,52.2,4.0,55.3,8.0,9.0,3.0,2.0
609.35,25.0,7.0,0.0,14.4,3.9,6.4,17.9,0.7,28.0,86.1,1.0,32.2,0.7,7.0,0.0,1.0
629.19,45.0,3.9,3.0,9.7,5.5,18.4,3.0,0.0,10.0,70.6,2.0,,,8.0,1.0,1.0
676.01,36.0,4.9,5.0,13.7,5.7,14.1,27.0,,4.0,70.5,2.0,,4.7,9.0,3.0,2.0
1814.75,40.0,2.5,10.0,31.9,5.3,22.3,33.8,26.2,28.0,48.1,7.0,56.3,6.9,4.0,,2.0
1885.89,26.0,4.8,14.0,31.0,,19.2,34.8,20.3,4.0,38.0,9.0,56.6,2.6,5.0,4.0,1.0
2414.49,39.0,5.0,2.0,35.7,8.7,22.5,44.1,15.4,78.0,55.2,3.0,19.3,5.4,5.0,4.0,1.0
874.85,32.0,1.4,6.0,23.0,10.4,26.2,28.4,19.4,,66.1,,57.72,7.0,12.0,0.0,2.0
353.81,28.0,0.5,6.0,13.7,3.9,9.9,9.0,0.0,62.0,68.8,2.0,40.2,6.3,7.0,1.0,2.0
1296.85,46.0,0.2,18.0,24.7,6.4,29.7,67.4,15.2,125.0,50.2,6.0,57.6,4.2,7.0,11.0,3.0
1475.76,19.0,2.6,12.0,32.0,7.0,15.3,,0.0,6.0,72.6,6.0,36.0,2.2,4.0,,2.0
1106.44,44.0,2.0,11.0,19.9,4.7,15.7,19.4,13.2,10.0,72.0,1.0,38.7,9.3,1.0,1.0,1.0
390.35,46.0,3.0,7.0,19.7,7.6,10.9,0.0,14.7,43.0,67.6,3.0,47.9,2.4,7.0,2.0,2.0
976.36,27.0,6.9,14.0,48.5,11.3,,60.8,35.6,60.0,37.6,6.0,71.64,4.9,5.0,3.0,3.0
1125.38,28.0,0.8,11.0,,,18.0,20.8,10.6,31.0,65.7,3.0,40.9,7.1,6.0,2.0,3.0
4112.77,35.0,4.3,6.0,34.4,10.4,21.3,49.8,15.1,138.0,59.8,5.0,59.88,,3.0,3.0,3.0
975.39,41.0,2.4,8.0,18.3,3.7,,28.0,23.3,12.0,76.8,2.0,72.5,6.3,9.0,3.0,2.0
864.26,36.0,3.1,9.0,23.6,,18.3,10.2,10.0,27.0,68.1,5.0,,1.9,9.0,1.0,4.0
1501.46,43.0,5.9,8.0,29.0,8.0,21.0,21.9,39.2,28.0,48.6,9.0,28.1,7.7,5.0,5.0,2.0
1899.69,59.0,0.6,18.0,35.9,11.7,22.7,44.2,26.1,5.0,53.1,6.0,63.84,1.6,4.0,2.0,2.0
1870.77,31.0,2.8,13.0,45.5,15.1,28.7,63.5,47.4,10.0,38.0,5.0,25.0,15.8,2.0,4.0,3.0
947.23,18.0,9.2,6.0,20.2,7.6,17.6,,18.4,41.0,55.5,5.0,24.9,20.1,13.0,0.0,3.0
939.72,47.0,2.0,5.0,27.7,,23.0,21.1,,23.0,71.1,3.0,,2.4,14.0,1.0,
739.54,58.0,3.7,8.0,19.8,6.9,12.3,,21.4,85.0,43.5,1.0,23.8,8.8,4.0,3.0,4.0
420.32,42.0,5.0,12.0,19.9,5.7,17.3,,19.9,7.0,76.5,5.0,48.0,5.2,4.0,2.0,3.0
956.53,24.0,2.3,16.0,22.2,6.5,17.7,22.4,20.7,8.0,49.2,10.0,43.3,8.3,5.0,1.0,2.0
415.59,36.0,4.3,2.0,11.8,4.5,8.4,14.6,10.1,35.0,64.0,3.0,37.2,8.8,4.0,0.0,1.0
1274.09,24.0,6.0,11.0,20.2,5.9,23.0,8.5,12.3,4.0,68.2,5.0,45.3,1.4,10.0,0.0,2.0
1695.3,45.0,2.3,18.0,41.7,15.4,28.1,59.8,38.6,1.0,54.8,,26.1,0.6,6.0,,1.0
1384.24,21.0,0.4,24.0,28.6,12.6,19.8,45.0,50.2,57.0,46.6,4.0,46.32,5.7,6.0,4.0,4.0
1413.38,34.0,6.7,24.0,32.2,11.3,23.0,38.3,30.9,41.0,47.4,7.0,57.3,13.0,6.0,4.0,3.0
1851.69,,0.4,10.0,34.7,,19.3,19.3,23.0,13.0,59.5,8.0,23.52,5.6,4.0,,3.0
2306.46,39.0,1.2,21.0,44.8,18.1,33.3,,39.4,72.0,39.7,6.0,41.1,15.4,6.0,3.0,1.0
1288.31,33.0,2.3,21.0,24.5,9.1,25.0,16.3,18.7,7.0,47.2,2.0,42.4,,8.0,3.0,1.0
123.58,40.0,1.6,0.0,1.0,2.5,2.6,0.0,9.5,67.0,76.1,1.0,11.6,,7.0,0.0,1.0
620.9,38.0,0.8,4.0,26.1,7.6,12.7,12.1,20.5,2.0,57.4,0.0,70.7,1.0,12.0,2.0,2.0
1315.36,26.0,6.1,13.0,35.4,3.6,17.2,0.0,12.7,44.0,65.3,3.0,67.8,16.7,2.0,1.0,4.0
1568.26,45.0,3.2,7.0,24.5,8.6,7.4,36.6,22.6,27.0,41.5,3.0,49.4,10.5,6.0,3.0,2.0
522.59,37.0,0.8,7.0,18.0,8.4,13.6,,13.4,14.0,70.4,2.0,68.75999999999999,4.6,9.0,0.0,5.0
898.02,26.0,6.9,2.0,3.2,6.1,9.0,16.4,17.2,2.0,54.4,2.0,49.0,8.4,8.0,0.0,4.0
2251.53,64.0,3.1,15.0,41.5,13.4,24.9,48.4,45.5,17.0,32.0,7.0,19.9,1.2,4.0,6.0,2.0
418.87,43.0,0.7,5.0,19.3,3.2,1.1,0.0,,64.0,75.7,1.0,16.0,3.5,5.0,1.0,1.0
466.63,36.0,3.4,9.0,15.1,1.0,0.0,1.1,0.0,12.0,71.9,1.0,,5.3,11.0,0.0,1.0
857.24,54.0,1.7,17.0,28.1,9.4,29.5,40.0,22.8,5.0,49.1,5.0,37.08,3.2,7.0,6.0,1.0
499.44,60.0,3.0,4.0,12.4,5.0,6.3,0.2,0.0,8.0,68.8,0.0,54.5,8.6,7.0,2.0,2.0
739.21,36.0,2.5,13.0,21.8,10.2,24.0,36.5,13.4,13.0,71.9,6.0,63.9,6.0,4.0,3.0,3.0
495.06,42.0,3.0,8.0,12.2,2.6,9.0,2.4,14.0,54.0,53.1,0.0,33.1,0.5,6.0,1.0,4.0
516.24,26.0,1.6,9.0,16.8,6.4,7.8,31.2,13.7,31.0,78.2,2.0,71.2,13.9,9.0,6.0,1.0
1367.28,36.0,4.0,15.0,28.3,10.7,20.8,,16.9,29.0,70.3,7.0,53.3,2.1,4.0,4.0,2.0
1176.04,35.0,3.7,12.0,19.5,5.0,,44.5,21.2,22.0,59.5,3.0,79.1,2.2,4.0,3.0,2.0
2338.04,40.0,2.9,26.0,42.1,11.8,23.7,36.4,18.4,,54.7,5.0,33.0,14.2,2.0,3.0,2.0
2750.33,41.0,1.2,14.0,47.8,12.6,28.0,,32.3,13.0,35.1,,82.8,15.1,3.0,4.0,3.0
533.44,44.0,4.1,1.0,33.3,6.4,23.7,33.6,1.8,35.0,66.9,6.0,69.7,0.6,7.0,2.0,1.0
1127.24,40.0,0.5,6.0,22.2,4.8,20.2,37.5,13.4,3.0,45.7,4.0,25.6,5.3,7.0,,1.0
1572.16,23.0,1.9,19.0,26.4,10.6,27.3,47.2,22.4,,47.7,4.0,28.6,3.3,7.0,4.0,4.0
420.95,26.0,0.6,1.0,12.5,2.1,13.7,0.0,0.0,44.0,78.5,,83.04,1.4,2.0,0.0,5.0
619.81,,2.5,18.0,15.5,3.4,17.2,20.7,0.0,4.0,60.5,3.0,40.4,6.8,6.0,,2.0
1628.08,34.0,0.6,13.0,28.2,10.2,27.1,60.9,4.2,3.0,56.8,3.0,21.8,5.3,6.0,2.0,2.0
713.55,50.0,2.6,16.0,28.5,9.4,23.3,30.3,18.7,10.0,65.7,2.0,33.9,,9.0,3.0,4.0
675.34,24.0,1.3,6.0,25.1,6.2,10.1,16.4,,3.0,78.6,1.0,68.4,7.3,12.0,3.0,2.0
2191.1,33.0,0.7,9.0,22.2,3.6,12.7,10.6,14.0,,57.8,6.0,80.1,8.2,10.0,,2.0
2500.74,49.0,3.0,23.0,43.7,12.2,26.6,35.9,44.3,37.0,49.5,8.0,21.0,3.5,6.0,4.0,3.0
2437.89,34.0,0.9,12.0,31.3,9.4,16.5,31.2,19.6,72.0,46.3,8.0,34.1,,9.0,3.0,4.0
700.16,43.0,5.1,8.0,15.7,5.8,15.5,13.0,13.8,20.0,64.4,2.0,35.279999999999994,13.0,8.0,2.0,1.0
927.5,36.0,1.5,18.0,22.2,15.7,29.6,53.3,32.7,61.0,43.2,7.0,49.2,2.1,3.0,5.0,2.0
2013.18,41.0,10.0,16.0,29.8,9.5,21.4,24.6,14.2,73.0,65.0,6.0,,1.6,6.0,5.0,3.0
971.31,35.0,5.8,28.0,58.4,17.3,41.8,67.8,62.3,6.0,44.5,,23.8,2.9,3.0,6.0,1.0
774.73,46.0,6.5,10.0,28.7,7.7,25.9,9.8,12.2,6.0,81.1,2.0,7.3,9.3,7.0,,2.0
460.93,19.0,1.5,7.0,16.7,9.6,13.3,8.4,16.0,20.0,59.2,3.0,25.1,,8.0,2.0,2.0
1809.35,33.0,2.5,12.0,39.5,14.0,33.3,39.1,29.5,21.0,60.7,7.0,35.3,1.7,2.0,1.0,
1565.5,41.0,3.0,28.0,36.5,10.1,30.9,66.0,55.6,7.0,25.6,9.0,7.1,19.9,2.0,8.0,3.0
950.64,44.0,3.6,10.0,,5.9,12.3,,2.7,10.0,83.1,1.0,10.1,8.2,6.0,,1.0
1519.29,55.0,2.8,17.0,24.7,9.9,18.6,64.4,22.9,1.0,49.9,4.0,23.5,0.7,7.0,2.0,4.0
1168.21,33.0,2.9,19.0,53.3,14.2,28.3,52.2,40.8,,32.0,9.0,45.9,,4.0,4.0,3.0
1132.28,55.0,6.6,14.0,32.2,12.6,18.1,24.4,20.2,3.0,49.4,6.0,6.2,,3.0,2.0,2.0
1241.75,30.0,1.9,3.0,18.6,5.4,10.0,16.9,24.1,3.0,61.2,1.0,33.9,12.2,7.0,0.0,2.0
1927.74,53.0,3.3,25.0,35.1,12.8,30.3,,25.5,9.0,43.0,6.0,1.0,,5.0,3.0,2.0
1077.69,47.0,5.2,21.0,36.3,15.0,,43.6,21.9,34.0,41.5,14.0,85.8,1.3,3.0,2.0,2.0
2962.15,27.0,2.4,15.0,36.5,11.5,22.1,41.1,16.1,35.0,54.2,8.0,49.68,,12.0,6.0,4.0
2701.99,41.0,1.3,29.0,49.3,16.6,29.8,77.9,51.0,45.0,39.5,14.0,26.2,9.1,5.0,7.0,2.0
296.69,37.0,2.7,0.0,21.1,6.3,20.5,37.6,0.0,38.0,71.8,1.0,24.0,3.2,8.0,0.0,3.0
850.0,45.0,1.2,8.0,26.8,,22.1,12.1,24.7,59.0,49.4,1.0,74.8,4.3,8.0,5.0,4.0
1731.35,35.0,2.0,18.0,41.2,16.3,29.1,48.1,46.7,26.0,36.3,14.0,20.6,3.9,7.0,5.0,2.0
294.06,34.0,1.1,7.0,19.8,3.5,,0.0,9.9,13.0,78.1,2.0,26.52,2.7,5.0,0.0,2.0
1072.71,54.0,2.9,11.0,32.6,7.3,15.4,37.2,25.7,30.0,49.9,0.0,60.1,9.2,7.0,4.0,
2695.55,36.0,0.8,8.0,34.2,11.7,20.6,30.4,20.6,9.0,21.3,6.0,44.2,0.4,3.0,3.0,1.0
777.64,47.0,2.2,4.0,20.1,3.7,17.8,,0.0,74.0,88.0,1.0,71.2,2.7,4.0,0.0,1.0
1313.36,35.0,2.6,14.0,22.0,8.7,10.9,21.0,5.7,3.0,81.3,2.0,41.1,9.5,3.0,2.0,1.0
1686.32,57.0,1.4,7.0,40.5,,13.3,42.6,18.4,43.0,71.5,6.0,,1.7,6.0,0.0,2.0
2726.25,29.0,2.0,16.0,41.7,12.7,31.8,64.2,35.3,,44.3,4.0,67.0,8.0,5.0,4.0,2.0
1926.91,30.0,5.6,13.0,15.1,8.5,14.1,26.4,3.9,56.0,62.2,4.0,26.6,,4.0,2.0,1.0
528.02,56.0,2.7,13.0,,8.5,19.9,20.7,3.5,10.0,74.7,1.0,61.7,2.7,9.0,3.0,4.0
1286.35,32.0,2.2,21.0,38.3,17.9,31.4,49.6,23.2,28.0,41.8,9.0,12.4,15.1,7.0,6.0,3.0
3238.9,57.0,6.6,9.0,34.7,11.2,23.9,55.5,20.5,37.0,53.9,3.0,28.9,5.5,10.0,2.0,2.0
1088.96,48.0,2.4,3.0,14.5,7.4,21.0,30.7,4.6,26.0,79.1,0.0,51.1,10.3,10.0,0.0,3.0
3536.8,36.0,6.8,8.0,32.5,10.4,22.9,26.8,36.1,36.0,45.0,4.0,54.1,7.2,3.0,3.0,1.0
1677.94,18.0,3.3,9.0,29.8,6.7,15.5,,16.8,60.0,55.4,,,20.0,4.0,1.0,5.0
978.09,37.0,1.1,21.0,27.4,10.5,9.7,32.2,38.2,11.0,61.4,4.0,42.72,4.7,8.0,3.0,4.0
763.34,39.0,1.3,17.0,22.3,7.7,14.4,11.1,17.9,24.0,57.2,4.0,25.4,2.8,5.0,2.0,1.0
1409.52,52.0,10.0,15.0,50.9,14.0,33.8,,40.7,15.0,45.8,13.0,39.7,2.3,3.0,6.0,1.0
1703.4,57.0,3.2,13.0,33.7,11.2,20.8,38.8,23.8,58.0,38.5,5.0,11.8,10.0,3.0,,2.0
1445.48,29.0,2.3,8.0,25.0,5.7,21.8,18.4,19.1,12.0,43.7,6.0,30.6,4.1,5.0,2.0,2.0
1020.02,47.0,8.0,11.0,36.6,9.6,20.4,31.1,17.6,78.0,53.5,4.0,30.4,7.1,7.0,3.0,2.0
811.55,47.0,1.5,9.0,9.9,1.0,14.2,,0.0,,61.4,1.0,67.0,6.7,8.0,1.0,2.0
2927.25,50.0,3.0,16.0,30.0,9.8,19.5,29.9,15.3,17.0,49.9,9.0,53.52,4.0,10.0,1.0,4.0
2233.6,43.0,6.6,11.0,27.8,8.8,32.6,41.7,44.3,12.0,49.3,10.0,45.0,13.7,3.0,3.0,5.0
3202.35,18.0,4.9,20.0,28.5,15.3,26.4,51.0,37.7,11.0,64.7,12.0,74.39999999999999,1.1,8.0,3.0,2.0
750.13,36.0,3.5,14.0,,5.4,,12.7,14.2,54.0,65.7,2.0,63.9,1.4,10.0,2.0,2.0
2804.55,24.0,6.3,17.0,39.3,11.1,27.9,,39.1,0.0,51.5,7.0,32.6,,5.0,3.0,2.0
1694.85,35.0,2.3,18.0,49.1,17.1,32.4,72.1,51.8,12.0,19.4,10.0,30.4,2.5,2.0,7.0,1.0
1543.49,49.0,6.7,6.0,28.5,10.8,4.8,31.7,12.4,8.0,74.7,2.0,44.4,0.5,9.0,0.0,2.0
1283.87,41.0,3.6,13.0,23.7,8.2,14.9,40.7,20.1,20.0,59.7,7.0,16.919999999999998,7.5,10.0,3.0,1.0
1418.66,51.0,1.6,24.0,42.6,12.3,34.3,41.7,45.2,36.0,53.8,6.0,48.5,5.5,2.0,3.0,1.0
2058.69,42.0,3.8,6.0,40.6,9.9,28.4,54.3,26.4,35.0,36.0,4.0,53.4,3.3,7.0,5.0,1.0
2460.12,22.0,2.9,5.0,23.3,8.5,12.0,24.8,0.4,48.0,43.7,6.0,20.2,,5.0,1.0,1.0
1636.97,18.0,3.6,17.0,22.2,9.1,16.5,15.0,12.9,20.0,62.7,5.0,66.0,7.5,5.0,2.0,3.0
2499.12,39.0,2.6,15.0,31.4,12.9,24.9,52.9,30.1,9.0,63.6,8.0,34.4,11.9,2.0,1.0,2.0
307.45,35.0,1.8,2.0,22.1,2.2,,12.8,26.1,30.0,54.9,1.0,77.3,0.4,8.0,1.0,3.0
1568.62,26.0,2.2,16.0,26.7,9.6,25.5,18.0,30.5,78.0,44.1,4.0,53.2,2.8,8.0,7.0,1.0
681.08,18.0,2.0,10.0,,12.6,8.3,13.3,25.2,53.0,83.8,5.0,39.96,3.6,7.0,,2.0
1385.63,29.0,1.7,8.0,22.6,5.4,10.8,33.5,,10.0,61.2,2.0,43.92,9.7,7.0,1.0,4.0
1287.62,35.0,2.4,22.0,44.4,9.2,24.0,36.1,40.9,2.0,45.6,,37.1,10.5,2.0,6.0,2.0
1302.03,45.0,2.6,9.0,19.4,8.8,18.2,10.8,,36.0,78.5,0.0,20.9,12.0,6.0,2.0,4.0
1516.45,40.0,1.9,18.0,41.8,12.0,29.4,53.0,36.3,27.0,49.2,4.0,75.3,3.9,3.0,1.0,
1102.57,57.0,3.6,8.0,23.6,8.0,6.6,,10.0,175.0,55.5,6.0,,4.1,9.0,0.0,4.0
440.05,25.0,0.2,1.0,15.7,6.2,8.6,0.0,12.1,0.0,65.8,1.0,12.0,1.3,5.0,0.0,3.0
744.36,48.0,1.3,14.0,22.2,9.2,30.5,15.6,32.2,76.0,55.8,4.0,34.5,6.1,3.0,6.0,3.0
1118.34,38.0,3.7,17.0,,8.1,30.5,,27.7,,68.0,,61.1,4.8,4.0,0.0,1.0
995.23,46.0,0.8,3.0,,5.5,14.6,34.8,15.7,,66.6,2.0,25.1,4.9,7.0,3.0,1.0
513.82,32.0,7.9,13.0,,6.4,22.3,0.8,18.5,5.0,72.8,2.0,32.8,18.0,8.0,,
3482.06,,1.8,9.0,33.0,7.1,,1.0,21.0,92.0,48.9,5.0,46.1,11.5,6.0,6.0,2.0
761.07,41.0,0.6,17.0,37.0,9.5,22.7,40.0,14.7,8.0,44.1,6.0,35.8,15.3,5.0,2.0,2.0
1405.23,29.0,4.9,22.0,34.1,11.0,25.6,66.0,22.0,24.0,49.3,3.0,74.04,3.0,2.0,6.0,2.0
911.45,37.0,1.7,16.0,24.4,6.0,15.2,,21.3,54.0,81.1,,46.0,4.6,4.0,2.0,1.0
1019.26,35.0,0.9,6.0,27.7,5.3,19.8,42.4,32.7,22.0,41.7,6.0,58.9,8.3,6.0,5.0,1.0
1009.29,43.0,4.7,6.0,33.8,7.1,19.7,,12.8,24.0,64.0,3.0,72.96,5.3,9.0,1.0,1.0
795.16,23.0,0.7,11.0,22.2,4.9,13.5,16.5,19.5,8.0,50.3,2.0,,12.5,4.0,1.0,2.0
1402.05,37.0,4.6,11.0,18.4,,23.1,18.6,5.5,42.0,73.1,3.0,1.1,3.5,8.0,1.0,1.0
1876.72,42.0,7.4,15.0,28.8,13.7,26.1,60.5,38.4,33.0,60.5,2.0,61.8,3.0,3.0,,1.0
1239.63,38.0,2.0,18.0,36.8,,32.3,54.3,22.6,10.0,46.6,4.0,26.16,6.6,6.0,3.0,5.0
3155.43,54.0,1.0,9.0,31.0,9.8,11.9,54.3,13.3,42.0,50.4,4.0,31.4,2.4,3.0,5.0,3.0
2639.68,47.0,6.5,21.0,55.0,16.2,38.4,,34.2,109.0,26.4,8.0,14.8,0.6,2.0,11.0,1.0
603.77,37.0,2.0,10.0,13.6,,6.4,0.0,0.0,25.0,72.0,0.0,43.9,4.9,9.0,0.0,1.0
990.38,40.0,0.8,6.0,16.5,6.2,14.4,,11.7,11.0,62.8,4.0,19.3,0.8,4.0,1.0,3.0
1168.8,41.0,0.9,10.0,34.7,9.9,19.2,26.2,21.9,24.0,55.0,6.0,56.1,8.1,2.0,4.0,2.0
1024.71,42.0,1.3,5.0,19.6,5.4,14.9,0.0,9.3,75.0,62.8,0.0,51.5,10.3,7.0,,2.0
941.22,18.0,1.2,15.0,26.4,8.4,21.1,37.3,24.0,38.0,59.5,6.0,65.3,0.5,8.0,,1.0
923.31,34.0,4.3,9.0,27.9,10.2,20.2,51.1,10.7,19.0,64.6,6.0,14.4,3.1,5.0,4.0,1.0
1704.74,20.0,0.9,18.0,40.8,12.2,33.3,57.8,36.1,50.0,30.5,5.0,24.96,6.9,2.0,6.0,3.0
441.29,53.0,4.3,11.0,29.2,9.3,13.4,13.1,17.0,17.0,41.2,5.0,13.9,,5.0,1.0,2.0
2039.61,37.0,3.8,30.0,31.5,,33.6,,46.2,20.0,34.4,,39.48,2.6,1.0,4.0,3.0
435.41,35.0,6.5,10.0,,6.5,3.4,26.0,0.0,6.0,64.7,3.0,8.8,7.7,5.0,1.0,1.0
2178.85,48.0,0.8,20.0,35.3,7.8,19.0,11.3,10.0,4.0,41.5,2.0,54.6,5.5,6.0,2.0,3.0
1144.18,43.0,4.6,14.0,27.4,8.3,20.5,27.7,15.8,68.0,49.8,4.0,70.55999999999999,11.3,5.0,3.0,2.0
1558.31,24.0,1.6,18.0,40.1,10.8,30.2,47.7,39.1,35.0,55.6,9.0,41.7,6.3,6.0,2.0,1.0
1822.99,,2.0,14.0,29.4,6.8,14.7,34.9,6.4,89.0,46.1,0.0,38.0,6.3,4.0,3.0,2.0
1707.64,33.0,2.9,14.0,37.2,12.1,24.9,32.2,24.9,,54.5,4.0,85.6,0.7,3.0,3.0,2.0
1667.26,18.0,2.0,17.0,29.5,11.3,22.3,29.9,31.2,3.0,49.4,6.0,45.72,3.4,3.0,1.0,1.0
2028.67,29.0,1.7,9.0,28.7,8.9,22.3,19.3,14.1,12.0,52.2,7.0,27.6,4.3,6.0,3.0,3.0
1397.65,35.0,2.0,5.0,32.4,12.6,19.2,62.6,30.8,1.0,56.6,1.0,17.4,10.5,5.0,1.0,3.0
323.01,,5.4,5.0,19.4,5.1,3.6,6.4,1.6,,79.1,1.0,67.3,2.4,6.0,0.0,2.0
378.76,20.0,1.1,5.0,14.7,2.9,8.8,0.0,,21.0,87.5,3.0,,,11.0,0.0,4.0
100.02,51.0,2.3,3.0,9.8,4.6,12.0,8.1,0.0,98.0,70.2,,43.5,1.8,5.0,0.0,1.0
550.3,36.0,1.8,6.0,20.2,3.2,13.4,39.8,6.5,7.0,57.7,6.0,22.68,2.4,4.0,6.0,3.0
1654.81,38.0,2.9,23.0,43.0,16.2,30.4,57.1,35.5,223.0,34.7,13.0,35.879999999999995,10.5,2.0,,1.0
6984.3,,2.4,24.0,37.1,15.2,32.8,59.1,55.2,11.0,29.8,6.0,48.12,9.9,5.0,12.0,3.0
2384.04,28.0,6.5,0.0,21.4,8.2,15.4,29.7,21.8,29.0,69.8,5.0,22.4,4.7,7.0,4.0,1.0
1042.73,43.0,1.3,8.0,23.3,,16.7,0.0,0.0,,67.7,2.0,62.7,1.0,7.0,3.0,3.0
921.58,33.0,4.1,7.0,34.0,7.1,,37.6,22.7,1.0,73.6,3.0,54.6,9.4,8.0,1.0,1.0
2890.02,27.0,4.7,18.0,31.3,9.1,25.7,68.3,21.0,24.0,48.7,9.0,,6.9,4.0,6.0,2.0
1264.72,44.0,5.8,8.0,33.0,14.0,21.5,36.5,,88.0,69.0,2.0,36.6,7.2,5.0,5.0,1.0
1651.48,55.0,1.4,4.0,16.4,5.0,9.6,9.7,16.5,9.0,56.0,1.0,19.8,29.8,6.0,2.0,3.0
4022.77,46.0,0.6,22.0,48.6,16.4,29.8,52.1,33.5,12.0,22.6,8.0,,6.1,3.0,3.0,1.0
863.53,49.0,3.0,6.0,18.0,6.0,10.8,8.5,,15.0,62.8,2.0,17.5,13.1,9.0,1.0,2.0
1109.86,31.0,2.0,9.0,,5.7,24.7,9.3,4.8,32.0,75.0,2.0,22.4,13.3,8.0,2.0,3.0
258.09,18.0,10.0,14.0,16.8,4.9,8.9,0.0,0.0,102.0,51.2,2.0,,3.7,2.0,0.0,4.0
763.45,55.0,0.1,0.0,9.9,6.3,11.4,0.0,9.4,25.0,66.1,1.0,52.2,3.2,7.0,1.0,1.0
1893.55,62.0,1.0,2.0,12.5,6.7,11.2,0.6,0.0,7.0,61.7,0.0,23.7,3.6,7.0,1.0,5.0
926.56,56.0,3.1,6.0,39.9,5.5,16.6,21.7,6.9,12.0,62.8,2.0,19.08,2.1,6.0,1.0,1.0
3789.2,33.0,6.7,17.0,33.9,9.0,23.6,37.5,21.1,,50.4,3.0,56.76,8.6,9.0,,2.0
228.84,24.0,0.8,2.0,20.9,6.7,9.2,8.3,,93.0,71.1,1.0,9.96,2.9,9.0,1.0,1.0
2723.02,25.0,1.8,18.0,42.0,,28.4,46.7,17.2,,59.3,8.0,43.2,4.7,2.0,3.0,4.0
757.26,18.0,2.7,20.0,24.3,8.3,20.5,,5.5,33.0,62.4,3.0,92.0,0.4,9.0,6.0,2.0
901.77,36.0,2.5,9.0,,7.6,17.2,23.9,,103.0,74.0,3.0,24.4,9.6,6.0,4.0,1.0
835.1,57.0,0.9,2.0,22.1,6.2,5.6,28.0,0.0,2.0,66.0,1.0,37.56,1.0,9.0,1.0,2.0
2278.32,36.0,2.4,19.0,49.2,14.1,42.3,62.9,22.3,2.0,36.6,14.0,16.4,5.5,2.0,3.0,5.0
950.49,41.0,4.1,21.0,38.5,9.2,12.2,39.5,29.1,11.0,41.3,9.0,19.1,8.0,4.0,,1.0
1747.04,54.0,2.1,22.0,48.0,10.0,,26.7,30.5,63.0,50.2,4.0,,4.8,3.0,4.0,2.0
